,Unnamed: 0,review,label
12,12,Sebuah landmark untuk berfoto dengan papan tanda yang menunjukkan jarak antara Padang dan negara lain,negatif
13,13,"Banyak restoran seafood, Anda bisa menikmati makan ikan segar di sini.",positif
14,14,"Tempat yang indah, menikmati, bersih, segar dan juga ingin kembali lagi. Saya sangat senang",positif
15,15,"Pantai ini berada tepat di sebelah kota n adalah Samudera Hindia. Jika Tsunami datang, akan menyapu seluruh Kota Padang.",positif
16,16,Pantai yang bersih. Anda dapat bermain di sepanjang sisi pantai. Ada spot foto untuk diambil di bawah tulisan pantai padang dan tanda untuk pergi ke daerah lain.,positif
17,17,Pantai yang sangat indah dan angin sepoi-sepoi yang luar biasa,positif
18,18,"Pantai dengan banyak makanan lokal yang bisa dicoba. Tempat yang bagus untuk menyaksikan matahari terbenam. Ada orang lokal yang bisa mengambil gambar Anda dan langsung mencetaknya (pembayaran yang wajar, bisa nego). Anda dapat mengambil banyak gambar di sini tanpa pengaturan pencahayaan.",positif
19,19,"Sesuatu harus dilakukan tentang sampah yang ada di mana-mana.
Ini adalah objek wisata! Agak agak agak...",positif
20,20,"Pantai Air manis, pemandangannya bagus, tapi terlalu panas di sore hari, dan jujur ​​​​​​untuk pantai bersejarah ini tidak terlalu bersih. 😥",positif
21,21,tempat yang bagus di pantai ketika Anda membutuhkan udara segar dan langit biru untuk jogging dan bersepeda,positif
22,22,"Tempat yang bagus untuk melihat matahari terbenam. Kita bisa makan beberapa ""bakso bakar"" atau makanan laut sambil menikmati matahari terbenam. Pada malam hari, tempat ini masih banyak dikunjungi orang. Anak muda makan malam atau sekedar nongkrong di sini. Beberapa waktu, melihat dan mendengar suara ombak membuat kami lebih rileks.",positif
23,23,Salah satu tempat terbaik untuk melihat matahari terbenam sambil menikmati makanan ringan,positif
24,24,"Ini adalah salah satu tempat yang bagus untuk melihat laut di kota ini. Btw, foto saya diambil dengan kamera film, jadi terlihat seperti oldies",positif
25,25,Kehidupan di laut❤️,negatif
26,26,"pantai yang bagus untuk berenang, berfoto, makan, olahraga, dll",positif
27,27,Pantai yang bagus,positif
28,28,Bagus untuk dilihat tetapi kurang hiburan dan tempat parkir yang rumit.,positif
29,29,Sangat dekat dengan pantai pusat kota dengan jalur pejalan kaki beraspal yang luas dan relatif bersih di mana Anda dapat berjalan atau jogging. Ada pasar ikan sederhana di sini di mana Anda dapat membeli ikan yang baru ditangkap oleh nelayan. Ada banyak restoran yang menjual…,positif
30,30,Datang untuk bersantai bersama keluarga tercinta,positif
31,31,Tempat ini menjadi lebih baik dan lebih baik. Nikmati pemandangan Anda dan abadikan momen Anda di sini,positif
32,32,Pantai yang indah tapi tidak alami... batu penghalang/pemecah merusak keindahannya.,positif
33,33,"Jika Anda beruntung, golden sunset akan menjadi milik Anda. Jalan makanan tersedia. Waspadalah terhadap penipuan-makanan jalanan-harga.",positif
34,34,Pemerintah harus melakukan lebih banyak. Ayo Padang! melakukan lebih. Jangan biarkan sampah menenggelamkan kota kemanapun aku pergi.,positif
35,35,"Tempat yang bagus untuk menyaksikan perjalanan matahari terbenam, mendapatkan makanan semuanya gratis. Sedikit pengecut dan sulit menemukan tempat parkir di waktu sibuk.",positif
36,36,"Pemandangan indah saat Anda mengunjungi Padang, Sumatera Barat",positif
37,37,"Saya berangkat pagi-pagi sekali ke Pantai Padang. Saya senang melihat pantai, merasakan pasir dan air di kaki saya.",positif
38,38,Tempat yang bagus untuk selfie dengan pasangan,positif
39,39,Yah itu pantai. Apalagi yang tinggal di dataran tinggi pasti heboh..,positif
40,40,Tempat yang bagus untuk menikmati matahari terbenam tetapi akan lebih baik tanpa sampah,positif
41,41,Tempat yang bagus👍,positif
42,42,Pantai terbaik di pantai barat Sumatera,positif
43,43,"Pantai/tepi laut yang unik di dekat kota. Mudah dicapai, banyak sistem transportasi mencapai pantai di beberapa titik lintasan. Ada banyak pantai, bisa terlalu ramai menjelang sore hari. Tidak terlalu cocok untuk menikmati matahari terbenam, namun tetap layak dikunjungi saat berada di Padang.",positif
44,44,Pantai Padang adalah tempat wajib untuk melihat matahari terbenam jika Anda datang ke Padang. Jangan lewatkan pemandangan terindah di Padang!,negatif
45,45,"Samudra Hindia sangat bagus, tapi tidak dapat melihat lebih dekat dengan bersih.",positif
46,46,"Pantai yang diremehkan dengan pemandangan matahari terbenam yang bagus. Namun, pemerintah setempat harus berupaya untuk menjaga pantai",positif
47,47,Cantik,positif
48,48,"Jujur saya kurang suka, kalau mau ke Pantai di sekitar Sumatera Barat, saya menyarankan di Painan atau Pariaman. Tapi, di sini di Padang, kamu bisa menikmati makanan enak yang enak 👍tapi pantainya agak kotor dan membosankan.",positif
49,49,Ada banyak nama negara tanda sirilanka India Iran tapi tidak pakistan,positif
50,50,pemandangan yang sangat indah untuk bermain ATV,positif
51,51,"Pantai Padang pemandangan yang bagus langsung ke Samudera Hindia, matahari terbit atau terbenam",positif
52,52,"Ini adalah pantai halaman belakang saya, Yop saya tinggal di dekat, hanya 100 meter dari tempat-tempat yang spektakuler ini. Pantai semakin seksi dan seksi dari hari ke hari. Dikelilingi oleh banyak warung lokal dengan harga terjangkau. Rata-rata hanya dalam USD 1,2!!!!",positif
53,53,"Pantai Padang sangat Indah.. Orang-orang sangat baik.
Padang memiliki pantai yang panjang dan lebar",negatif
54,54,"Tempatnya bagus, penjual snacknya juga banyak",positif
55,55,Tempat yang bagus untuk jangka waktu bersama keluarga dan teman. Dapat melihat matahari terbenam hampir setiap hari.. Saya dapat menilai 7/10 untuk kebersihan,positif
56,56,Pantai yang bagus.. matahari terbenam terbaik lainnya di sini,positif
57,57,"Tempat yang bagus untuk menyaksikan matahari terbenam, pemerintah masih melakukan beberapa pekerjaan untuk membuat taman ini terlihat lebih baik dari sebelumnya. Sekarang Anda bisa duduk di sini, minum dan camilan di jalan. Tapi saya berharap akan ada food court di sini. Ini akan menjadi luar biasa",positif
58,58,Perlu diurus dengan serius untuk menarik lebih banyak turis,positif
59,59,Pantai terbaik yang pernah ada di daratan Sumatera,positif
60,60,"Anda dapat beristirahat, menikmati makanan dan minuman yang enak. Apalagi jika Anda datang ke sini sebelum matahari terbenam.",positif
61,61,Rame kalau weekend,negatif
62,62,Luar biasa,positif
63,63,Hanya pantai tengara lainnya. Rama itu lebih bersih. Saya suka angin. Anda bahkan dapat mencoba paralayang di sini untuk 400K.,negatif
64,64,Cantik,positif
65,65,Itu bisa lebih baik dari sisi yang bersih dan nyaman. Pemerintah harus bekerja lebih keras untuk mempertahankannya.,positif
66,66,Tempat yang bagus untuk keluarga untuk bersenang-senang di pantai,positif
67,67,pantai yang indah,positif
68,68,Tempat yang bagus untuk keluarga dan teman,positif
69,69,Mereka menyediakan MPV dengan harga yang wajar. Banyak warung makan di sekitar juga.,positif
70,70,Baik,positif
71,71,Tidak banyak yang bisa dilihat,positif
72,72,ikan bakar pedas,negatif
73,73,tempat yang bagus untuk dikunjungi terutama bagi orang-orang yang belum pernah mengunjungi tempat-tempat ini sebelumnya,positif
74,74,Bulevar matahari terbenam yang bagus terletak di pusat kota,positif
75,75,Pantai yang sangat biasa seperti banyak pantai lainnya di setiap kota. Tapi ini adalah salah satu dari sedikit tempat yang terjadi di kota Padang.,negatif
76,76,Sangat bagus dan tenang,positif
77,77,Tempat yang bagus untuk melihat matahari terbenam,positif
78,78,Sangat romantis,positif
79,79,Pemandangan bagus dari sini tapi ramai di sore hari,positif
80,80,Tempat bersejarah & ikonik di Padang,positif
81,81,Ramai di akhir pekan. Sempurna untuk jogging.,positif
82,82,Kuil yang bagus untuk tur,positif
83,83,Nah kalau mau pakai bikini di pantai paradisiaque jangan kesini..,negatif
84,84,Direkomendasikan untuk waktu keluarga,negatif
85,85,"Pantai yang cocok untuk menikmati matahari terbenam dan suasana malam. Selain bersih dan asri, pantai terlindung ini juga tersedia banyak kafe. Terletak di jantung padang.",positif
86,86,tempat yang bagus untuk jangka waktu,positif
87,87,Salah satu tempat yang paling menarik untuk dikunjungi di Padang. Jalan pejalan kaki yang bersih dan bagus.,positif
88,88,"Pemandangan rata-rata, sampah ada di mana-mana dan banyak anak meminta uang dengan cara yang sangat menjengkelkan. Jika Anda ingin tetapi makanan atau minuman Anda harus MEMINTA harganya terlebih dahulu.",negatif
89,89,Pantainya bagus.. 😁,positif
90,90,Selamat bersenang-senang,positif
91,91,"Jauh lebih baik dari 5 tahun yang lalu, lebih bersih dan lebih rapi",positif
92,92,Ini adalah pantai yang bagus di mana Anda dapat menyaksikan matahari terbenam yang indah... dan menikmati makanan laut juga. .. :)),positif
93,93,Baik,positif
94,94,Setelah beberapa tempat ini akhirnya menjadi ramah keluarga,positif
95,95,Tempat yang bagus untuk menemukan ikan segar,positif
96,96,"Sejujurnya, saya tidak menemukan sesuatu yang istimewa dari pantai ini. Satu-satunya alasan mengapa saya dan istri saya pergi ke sana adalah karena wabah raksasa ""PADANG"". kami pergi ke sana, mengambil gambar, dan pindah ke tempat lain.",positif
97,97,Tempat terbaik untuk matahari terbenam,positif
98,98,"Biasa saja, tidak banyak pilihan makanan dan jajanan, semua orang menjual mie instan tipikal yang sama, nasi goreng, ikan bakar dan langkitang yang terlalu matang. Toiletnya bau, kotor dan harus bayar.",negatif
99,99,"saya kasih bintang lima untuk pantai padang....saya suka itu....
cinta pantai padang...",positif
100,100,Ini jauh lebih baik dibandingkan dari beberapa tahun yang lalu,positif
101,101,"Sekarang Pantai Padang sangat indah, memiliki pemandangan langsung ke pantai dan Anda dapat membeli makanan atau makanan ringan di kafe jalanan di seberang pantai, dan tempat ini juga memiliki menu tradisional.",positif
102,102,Garis pantai yang panjang dengan pemandangan yang indah. Jangan lupa bawa topi dan sunblock.,positif
103,103,Sempurna,positif
104,104,Baik,positif
105,105,Tempat yang bagus untuk akhir pekan Anda,positif
106,106,Tempat yang bagus. juga bersih,positif
107,107,Pantai yang bagus untuk menikmati matahari terbenam.,positif
108,108,"Hahhh..bagus banget area photoshootnya, asyik buat ngabisin waktu di siang hari...",positif
109,109,Tempat yang bagus untuk dikunjungi,positif
110,110,Sangat pasti untuk menyaksikan matahari terbenam di sini. itu indah,positif
111,111,pantai yang indah,positif
112,112,Luar biasa....😍🤗,negatif
113,113,Bagus,positif
114,114,Tempat yang bagus untuk liburan,positif
115,115,saya menyukai tempat ini,positif
116,116,Tempat yang bagus tapi perlu perhatian lebih dari pemerintah lokal,positif
117,117,Matahari terbenam yang bagus,positif
118,118,Ramai dan kotor.,negatif
119,119,matahari terbenam,negatif
120,120,Sedikit bersih dari pantai lain,positif
121,121,Tempatnya bagus..,positif
122,122,"Tidak Direkomendasikan,, itu sangat kotor,, parkir gila,, semuanya uang. tidak bertanggung jawab.",negatif
123,123,Pantai yang indah.,positif
124,124,Pantai yang bagus. Akses mudah.,positif
125,125,matahari terbenam,negatif
126,126,"Tempat yang bagus untuk beacy guys,,,",positif
127,127,kecantikan,negatif
128,128,Kotaku tercinta,positif
129,129,pemandangan pantai padang yang bagus,positif
130,130,Tempat-tempat indah,positif
131,131,Bagus,positif
132,132,"bukan pantai yang sepi seperti sebelum pemerintah membangun jembatan... tapi, ok untuk resor wisata.",positif
133,133,Sampah di mana-mana .. tapi gerbang samudra hindia yang indah.,positif
134,134,bagus. tidak bisa berenang di pantai tetapi ada beberapa tempat yang bagus untuk berfoto,positif
135,135,Matahari terbenam yang bagus,positif
136,136,👌,negatif
137,137,tempat di mana Anda dapat menikmati pemandangan pantai Padang. tapi anda tidak bisa membaringkan badan anda di pantai atau berenang disana karena dibatasi oleh budaya masyarakat Minangkabau,negatif
138,138,pantai yang panjang dan indah,positif
139,139,Matahari terbenam yang bagus,positif
140,140,"saya pikir ini adalah tengara baru untuk kota
dengan monumen merpati perdamaian",positif
141,141,"karena ini adalah pantai barat, Anda dapat melihat matahari terbenam yang indah, terletak tidak jauh dari kota tetapi sayangnya ada banyak sampah di pantai",positif
142,142,Tempat yang bagus untuk hang out,positif
143,143,Bagus untuk bersantai di minggu pagi..,positif
144,144,Saya suka pantai dan langit biru,positif
145,145,direkomendasikan!,negatif
146,146,"Tempatnya enak buat hangout bareng jodoh, saya kasih bintang lima saja kalau tidak ada (mengganggu) pengemis jalanan (merah: pengamen)",positif
147,147,Hbs mandi2 lap...,negatif
148,148,Pantai yang luar biasa,positif
149,149,Sampah di mana-mana. Tolong bersihkan,positif
150,150,"Pantai yang indah tapi fasilitasnya cukup buruk, tidak ada kamar kecil yang bersih misalnya",negatif
151,151,Luar biasa,negatif
152,152,Sekarang ini sangat bersih dan indah,positif
153,153,Pemandangan yang bagus,positif
154,154,Salah satu tempat wisata di pantai Padang,negatif
155,155,Saya suka pemandangan ini seperti legenda,negatif
156,156,Banyak sampah dan ketidaksadaran masyarakat dan pengunjung pantai.,negatif
157,157,Cantik tapi butuh layanan kebersihan,negatif
158,158,Pantainya cukup bersih,positif
159,159,Ayo belanja 😁,negatif
160,160,"saya suka pantai,,",positif
161,161,Tidak cocok untuk berenang,negatif
162,162,Tempat yang bagus...,positif
163,163,Tempat dan pemandangan yang bagus,positif
164,164,Mau ke pantai? iya pantai padang,negatif
165,165,"Tempat yang bagus untuk dikunjungi,, bersih, dan panoramanya sangat indah",positif
166,166,Pemandangan yang bagus,positif
167,167,Tempat yang bagus untuk berfoto,positif
168,168,Tempat yang bagus untuk pertemuan keluarga,positif
169,169,Sangat cantik,positif
170,170,Tumbuh menjadi destinasi wisata Padang terbaik..,positif
171,171,"Makanan murah, minuman, dan harga normal untuk parkir",positif
172,172,Pemandangan yang bagus.,positif
173,173,Baik,positif
174,174,Baik,positif
175,175,Mntap guys,negatif
176,176,Cantiknya,positif
177,177,Terbaik,positif
178,178,Baik,positif
179,179,cantik,positif
180,180,Baik,positif
181,181,Suka,negatif
182,182,Konsep baru untuk pantai,positif
183,183,Cantik.....💖💖,negatif
184,184,Baik,positif
185,185,pantai yang keren,positif
186,186,Indah dan menakjubkan,positif
187,187,Bersih dari sebelumnya,positif
188,188,Baik,positif
189,189,Puncak,positif
190,190,Baik,positif
191,191,Tempat yang indah,positif
192,192,Bagus,positif
193,193,Pemandangan yang bagus,positif
194,194,Tempat yang bagus,positif
195,195,matahari terbenam dan menakjubkan,positif
196,196,Tempat yang bagus.,positif
197,197,Pemandangan yang bagus,positif
198,198,Pemandangan indah!,positif
199,199,Tempat yang bagus,positif
200,200,Tempat yang bagus untuk berjalan-jalan,positif
201,201,Matahari terbenam yang bagus,positif
202,202,Adeemmm,negatif
203,203,aku suka laut,negatif
204,204,Baik,positif
205,205,Baik,positif
206,206,besar,negatif
207,207,Selamat berkunjung,positif
208,208,Bagus,positif
209,209,Pemandangan matahari terbenam. Tergantung keberuntungan :),positif
210,210,Tidak buruk,positif
211,211,Luar biasa,negatif
212,212,Luar biasa,negatif
213,213,Tempat yang bagus untuk bersenang-senang bersama keluarga,positif
214,214,Pemandangan yang bagus...,positif
215,215,Matahari terbenam yang sempurna,positif
216,216,Suka,positif
217,217,Lebih baik,positif
218,218,Baik,positif
219,219,pemandangan yang menyembuhkanmu,negatif
220,220,tempat favorit,negatif
221,221,Baik,positif
222,222,Bagus,positif
223,223,terbaik,positif
224,224,Sangat cantik,positif
225,225,"Tempat yang bagus untuk menghabiskan waktu bersama anak-anak Anda,",positif
226,226,Bagus,positif
227,227,Lihat bagus,positif
228,228,Sekarang pantainya bersih,positif
229,229,Sampah di mana-mana,negatif
230,230,Menyenangkan dan menikmati pantai..,positif
231,231,Tempat yang bagus untuk menikmati hari Anda,positif
232,232,Really there is absolutely nothing here,positif
233,233,Cantik dari sebelumnya,positif
234,234,Bagus,positif
235,235,Pemandangan yang bagus,positif
236,236,Pantai yang bagus,positif
237,237,Selalu jadi tempat lari,negatif
238,238,Saya suka bepergian,negatif
239,239,Pantainya masih kotor.. semoga pemerintah daerah kita bisa membuat pantai menjadi bersih..,negatif
240,240,Salah satu tempat yang bagus di padang.,positif
241,241,Susah cari tempat parkir..,negatif
242,242,Baik,positif
243,243,Luar biasa!,positif
244,244,Baik,positif
245,245,Memiliki pemandangan yang indah,positif
246,246,Bagus tidak yat naksir,positif
247,247,Baik sekali,positif
248,248,👍🏻,negatif
249,249,Suka itu,negatif
250,250,Top1,negatif
251,251,Matahari terbenam,negatif
252,252,Baik,positif
253,253,Bagus,positif
254,254,Bersih,positif
255,255,Baik,positif
256,256,Hebat,positif
257,257,Bagus,positif
258,258,Baik,positif
259,259,saya suka,negatif
260,260,Suka,positif
261,261,super..😇😇😇😇,negatif
262,262,Luar biasa,positif
263,263,terbaik,positif
264,264,Cantik,positif
265,265,Bagus,positif
266,266,Baik,positif
267,267,baik,positif
268,268,Baik,positif
269,269,Baik,positif
270,270,baik,positif
271,271,bersih,positif
272,272,Pemandangan yang bagus,positif
273,273,Atas..,negatif
274,274,Pantai yang indah,positif
275,275,banyak orang,negatif
276,276,Baik,positif
277,277,Tempat yang bagus,positif
278,278,Pemandangan indah,positif
279,279,Bagus,positif
280,280,Tidak buruk,positif
281,281,Tempat yang wajib dikunjungi di Padang,negatif
282,282,Bagus dan bersih,positif
283,283,Iya,negatif
284,284,Bagus 👍👍,positif
285,285,Pantai yang bagus,positif
286,286,Pemandangan yang bagus,positif
287,287,Matahari terbenam yang bagus,positif
288,288,Luar biasa,positif
289,289,Perlu perhatian pemerintah,negatif
290,290,Keren,positif
291,291,luar biasa,positif
292,292,pantai yang bagus,positif
293,293,Bagus,positif
294,294,Perdamaian,negatif
295,295,baik,positif
296,296,Hanya relaaaaxxxxxx,negatif
297,297,Cukup baik,positif
298,298,Wajah baru,positif
299,299,Baik,positif
300,300,pemandangan yang bagus,positif
301,301,tempat yang bagus,positif
302,302,Baik,positif
303,303,Baik,positif
304,304,Tempat yang bagus,positif
305,305,Bagus,positif
306,306,Langkawi,negatif
307,307,Bagus,positif
308,308,Tempat yang bagus !,positif
309,309,Baik,positif
310,310,Tempat yang bagus untuk menyegarkan,positif
311,311,perlu dibersihkan,negatif
312,312,Luar biasa,negatif
313,313,Matahari terbenam yang indah,positif
314,314,Tampan,positif
315,315,Pemandangan yang bagus di malam hari,positif
316,316,Matahari terbenam yang menakjubkan,positif
317,317,Pemandangan indah,positif
318,318,Baik,positif
319,319,Bagus,positif
320,320,Nikmati...,positif
321,321,Pantai yang indah dan orang-orang baik di sini,positif
322,322,menakjubkan,positif
323,323,Baik,positif
324,324,Tempat yang bagus,positif
325,325,Pemandangan bagus dan bersih,positif
326,326,Puncak,positif
327,327,Jjs,negatif
328,328,Bagus,positif
329,329,Baik,positif
330,330,Bersih,positif
331,331,Tempat yang sangat bagus,positif
332,332,Jadi segarkan,negatif
333,333,sangat cantik,positif
334,334,Tidak banyak yang bisa dilihat,negatif
335,335,Pemandangan bagus. kebersihan buruk,positif
336,336,Pantai indah di pagi hari,positif
337,337,Kebebasan terdeteksi,negatif
338,338,Tempat yang bagus untuk hangout,positif
339,339,Indonesia yang indah,positif
340,340,Pemandangan indah,positif
341,341,Baik,positif
342,342,tempat yang menyenangkan,positif
343,343,Rata-rata,negatif
344,344,Nikmati.....,positif
345,345,"Pemandangan indah, dengan berbagai kafe",positif
346,346,Sungguh pantai yang indah,positif
347,347,Lewati,negatif
348,348,Tempat yang bagus,positif
349,349,Luar biasa,positif
350,350,Harus Dikunjungi,negatif
351,351,Pemandangan indah,positif
352,352,Pemandangan indah,positif
353,353,Suasana yang bagus,positif
354,354,Pemandangan yang bagus,positif
355,355,Sangat cantik,negatif
356,356,Matahari terbenam yang bagus,positif
357,357,Bagus,positif
358,358,Bagus,positif
359,359,Ramai,negatif
360,360,Vitamin laut,negatif
361,361,Kecantikan penuh,positif
362,362,Bagus,positif
363,363,Baik,positif
364,364,Kerja bagus,positif
365,365,Pemandangan indah,positif
366,366,Tempat yang bagus di malam hari?,positif
367,367,Banyak orang yang jualan jadi menyebalkan,negatif
368,368,Bagus,positif
369,369,luar biasa,positif
370,370,Tersenyum,positif
371,371,Pantai Padang bagus untuk sunset,positif
372,372,Cinta pertama saya,positif
373,373,Bagus,positif
374,374,sangat mencintai.....,positif
375,375,Cinta,positif
376,376,baik,positif
377,377,Pemandangan matahari terbenam yang bagus,positif
378,378,Pengalaman terbaik di padang?,positif
379,379,Baik,positif
380,380,Pantai alami yang bagus,positif
381,381,Tempat terbaik untuk melihat matahari terbenam,positif
382,382,Pantai,negatif
383,383,Pemandangan yang bagus,positif
384,384,Tempat yang bagus..,positif
385,385,Tempat yang bagus...,positif
386,386,Tempatnya bagus banget,positif
387,387,Salah satu tujuan jika Anda pergi ke kota padang...,negatif
388,388,Direkomendasikan,negatif
389,389,Tempat luar biasa,negatif
390,390,Tempat yang bagus,positif
391,391,Baik,positif
392,392,Pemandangan indah,positif
393,393,tempat bersantai di hari minggu sore,negatif
394,394,Pantai bersih hanya perlu lebih banyak fasilitas shower,positif
395,395,Baik,positif
396,396,Pemandangan matahari terbenam yang indah,positif
397,397,Pemandangan indah,positif
398,398,"eh kotor. mereka meningkatkan jogging track, namun.",negatif
399,399,Bagus untuk matahari terbenam di tepi pantai purus,positif
400,400,"Bismillahirrahma nirrahim
Pantai Padang Sumatera Barat adalah pantai yang Masya Allah indahnya.
Sambil jogging kita bisa menikmati keindahan panoramanya.
Moment ini juga bisa kita waspadai moment untuk ber kodak ria.
Alhamdulillah.
Kita…",negatif
401,401,"Kalau ke kota Padang jangan lupa main ke pantai Padang,tempatnya aman dan nyaman.bisa untuk orang dewasa dan juga bisa untuk anak.apalagi kalau malam hari suasananya semakin ramai karena ada lampu-lampu yang menambah bagus lokasi pantai …",positif
402,402,"(Original) Pantainya bersih, tertata rapi untuk pengunjung bersantai cukup nyaman. Parkir ada di bahu jalan tapi biasa

(Asli)
Pantai bersih, tertata rapi untuk para pengunjung untuk bersantai cukup nyamam. Parkir di bahu jalan tapi teratur",positif
403,403,"Pantainya bagus, dan semoga kebersihan pantai tetap terjaga",negatif
404,404,(Original) Pantai dengan nama lain Taplau/tapi lauiik artinya tepi laut (pantai) berada di antara Muaro Padang dan Muaro Lasak. Pemerintah Kota. Padang telah mendesain ulang pantai Muaro Lasak menjadi menawan untuk dikunjungi sembari menunggu…,positif
405,405,"(Original) Tempatnya wow banget, semoga yang penasaran cobain apalagi menjelang sunset

(Asli)
Tempatnya wow banget, boleh yg penasaran cobain sebelum matahari terbenam",positif
406,406,"(Original) Ok Tempat Menikmati Sore Hari Di Kota Padang..
Disepanjang perjalanan banyak terdapat kafe pinggir pantai yang sederhana namun cocok untuk hang out hobby menikmati keindahan pantai padang...
Pantai yang bagus...
Terima kasih…",positif
407,407,"(Original) Banyak tempat buat jajaaaaaaaannnnn

Terima kasih banyak
Banyak kedai kopi
Banyak spot foto

(Asli)
Banyak tempat buat jajaaaaaaaannn

Syurgaaaa banget
Banyak tempat ngopi
Banyak tempat poto",positif
408,408,"(Original) Tempat paling asik buat hang out bareng temen atau keluarga

(Asli)
Tempat nongkrong terbaik bersama teman ataupun keluarga",positif
409,409,"(Original) Bersih aman dan nyaman
Sangat nyaman untuk duduk dan bersantai

(Asli)
Bersih aman dan nyaman
Sangat nyaman untuk duduk santai",positif
410,410,"(Original) Karena Covid gagal sampai kesana baru saya kasih bintang lima semoga tahun depan bisa kesana
Covid hilang....

(Asli)
Karena covid gagal masuk kesana ku kasih Bintang lima aja semoga tahun depan bisa kesana
Covid udah hilang....",negatif
411,411,"(Original) Tempat terbaik melihat sunset di kota padang.

(Asli)
Tempat terbaik menyaksikan sunset di kota Padang.",positif
412,412,"(Original) Semoga berkah buat semua dan menumbuhkan rasa cinta alam

(Asli)
Semoga berkah bagi semua dan menumbuhkan rasa cinta alam",positif
413,413,"(Original) Sangat enak buat penat..

(Asli)
Sangat bagus untuk lepas penat..",positif
414,414,"(Original) Pantainya bersih

(Asli)
pantainya bersih",positif
415,415,"(Original) Pantai Salah Saru Tang ada di kota Padang, untuk viewnya sangat bagus apalagi kalau kesini sore hari kita bisa melihat sunset disaat cuaca sedang bagus. Aksesnya sangat mudah dan ada banyak makanan…",positif
416,416,"(Original) bagus, capek jalan-jalan sebentar hahaha. x lagi ke sini lagi, tx Kemendagri

(Asli)
bagus, capek jalan kaki berkm2 hahaha. lain x kesini lagi yaa tx kemendagri",positif
417,417,"(Original) Bagus untuk dibuang,

(Asli)
Mantap utk buang suntuk,😅",positif
418,418,"(Original) Saya selalu suka menikmati sore saya di pantai padang.

(Asli)
Saya selalu suka menikmati sore saya di pantai padang..",positif
419,419,"(Original) Pesan untuk pemkot, preman tolong di awasi
................................................................... ................................................................... …",negatif
420,420,"(Original) tempatnya bersih, wajib dikunjungi turis!!!

(Asli)
tempat nya bersih,wajib dikunjungi wisatawan!!!",positif
421,421,"(Original) Mulai rapi,rapi dan tertib sejak Buya jadi walikota

(Asli)
Mulai rancak,rapi dan tertib semenjak buya manjadi walikota",positif
422,422,"(Original) merupakan salah satu tempat wisata di kota padang. Cocok untuk wisata keluarga karena banyak persewaan skuter untuk anak-anak.
tempat parkir cukup luas, hanya pemerasan saja

(Asli)
salah…",positif
423,423,"(Original) Tempat ini sangat cocok bagi penggemar sunset dan sunrise serta bagi yang suka memercik alam, apalagi sekarang sudah ada masjid megah di pinggir pantai padang yang menambah daya tariknya,…",positif
