,Unnamed: 0,Unnamed: 0.1,review,label,TOKENIZATION,TF,STOPWORD,REVIEW,BERSIH,polarity
10,10,10,pantai bahkan kota padang sangat bersih dan sangat mengagumkan pemandangan matahari terbenam juga membuat anda semakin ingin mengunjungi tempattempat ini,positif,"['pantai', 'bahkan', 'kota', 'padang', 'sangat', 'bersih', 'dan', 'sangat', 'mengagumkan', 'pemandangan', 'matahari', 'terbenam', 'juga', 'membuat', 'anda', 'semakin', 'ingin', 'mengunjungi', 'tempattempat', 'ini']",<FreqDist with 19 samples and 20 outcomes>,"['pantai', 'kota', 'padang', 'bersih', 'mengagumkan', 'pemandangan', 'matahari', 'terbenam', 'mengunjungi', 'tempattempat']","['pantai', 'kota', 'padang', 'bersih', 'kagum', 'pandang', 'matahari', 'benam', 'unjung', 'tempattempat']",pantai kota padang bersih kagum pandang matahari benam unjung tempattempat,1
11,11,11,pantai yang indah matahari terbenam,positif,"['pantai', 'yang', 'indah', 'matahari', 'terbenam']",<FreqDist with 5 samples and 5 outcomes>,"['pantai', 'indah', 'matahari', 'terbenam']","['pantai', 'indah', 'matahari', 'benam']",pantai indah matahari benam,1
12,12,12,sebuah landmark untuk berfoto dengan papan tanda yang menunjukkan jarak antara padang dan negara lain,negatif,"['sebuah', 'landmark', 'untuk', 'berfoto', 'dengan', 'papan', 'tanda', 'yang', 'menunjukkan', 'jarak', 'antara', 'padang', 'dan', 'negara', 'lain']",<FreqDist with 15 samples and 15 outcomes>,"['landmark', 'berfoto', 'papan', 'tanda', 'jarak', 'padang', 'negara']","['landmark', 'foto', 'papan', 'tanda', 'jarak', 'padang', 'negara']",landmark foto papan tanda jarak padang negara,-1
13,13,13,banyak restoran seafood anda bisa menikmati makan ikan segar di sini,positif,"['banyak', 'restoran', 'seafood', 'anda', 'bisa', 'menikmati', 'makan', 'ikan', 'segar', 'di', 'sini']",<FreqDist with 11 samples and 11 outcomes>,"['restoran', 'seafood', 'menikmati', 'makan', 'ikan', 'segar']","['restoran', 'seafood', 'nikmat', 'makan', 'ikan', 'segar']",restoran seafood nikmat makan ikan segar,1
14,14,14,tempat yang indah menikmati bersih segar dan juga ingin kembali lagi saya sangat senang,positif,"['tempat', 'yang', 'indah', 'menikmati', 'bersih', 'segar', 'dan', 'juga', 'ingin', 'kembali', 'lagi', 'saya', 'sangat', 'senang']",<FreqDist with 14 samples and 14 outcomes>,"['indah', 'menikmati', 'bersih', 'segar', 'senang']","['indah', 'nikmat', 'bersih', 'segar', 'senang']",indah nikmat bersih segar senang,1
15,15,15,pantai ini berada tepat di sebelah kota  adalah samudera hindia jika tsunami datang akan menyapu seluruh kota padang,positif,"['pantai', 'ini', 'berada', 'tepat', 'di', 'sebelah', 'kota', '', 'adalah', 'samudera', 'hindia', 'jika', 'tsunami', 'datang', 'akan', 'menyapu', 'seluruh', 'kota', 'padang']",<FreqDist with 18 samples and 19 outcomes>,"['pantai', 'sebelah', 'kota', '', 'samudera', 'hindia', 'tsunami', 'menyapu', 'kota', 'padang']","['pantai', 'belah', 'kota', '', 'samudera', 'hindia', 'tsunami', 'sapu', 'kota', 'padang']",pantai belah kota  samudera hindia tsunami sapu kota padang,1
16,16,16,pantai yang bersih anda dapat bermain di sepanjang sisi pantai ada spot foto untuk diambil di bawah tulisan pantai padang dan tanda untuk pergi ke daerah lain,positif,"['pantai', 'yang', 'bersih', 'anda', 'dapat', 'bermain', 'di', 'sepanjang', 'sisi', 'pantai', 'ada', 'spot', 'foto', 'untuk', 'diambil', 'di', 'bawah', 'tulisan', 'pantai', 'padang', 'dan', 'tanda', 'untuk', 'pergi', 'ke', 'daerah', 'lain']",<FreqDist with 23 samples and 27 outcomes>,"['pantai', 'bersih', 'bermain', 'sisi', 'pantai', 'spot', 'foto', 'diambil', 'tulisan', 'pantai', 'padang', 'tanda', 'pergi', 'daerah']","['pantai', 'bersih', 'main', 'sisi', 'pantai', 'spot', 'foto', 'ambil', 'tulis', 'pantai', 'padang', 'tanda', 'pergi', 'daerah']",pantai bersih main sisi pantai spot foto ambil tulis pantai padang tanda pergi daerah,1
17,17,17,pantai yang sangat indah dan angin sepoisepoi yang luar biasa,positif,"['pantai', 'yang', 'sangat', 'indah', 'dan', 'angin', 'sepoisepoi', 'yang', 'luar', 'biasa']",<FreqDist with 9 samples and 10 outcomes>,"['pantai', 'indah', 'angin', 'sepoisepoi']","['pantai', 'indah', 'angin', 'sepoisepoi']",pantai indah angin sepoisepoi,1
18,18,18,pantai dengan banyak makanan lokal yang bisa dicoba tempat yang bagus untuk menyaksikan matahari terbenam ada orang lokal yang bisa mengambil gambar anda dan langsung mencetaknya pembayaran yang wajar bisa nego anda dapat mengambil banyak gambar di sini tanpa pengaturan pencahayaan,positif,"['pantai', 'dengan', 'banyak', 'makanan', 'lokal', 'yang', 'bisa', 'dicoba', 'tempat', 'yang', 'bagus', 'untuk', 'menyaksikan', 'matahari', 'terbenam', 'ada', 'orang', 'lokal', 'yang', 'bisa', 'mengambil', 'gambar', 'anda', 'dan', 'langsung', 'mencetaknya', 'pembayaran', 'yang', 'wajar', 'bisa', 'nego', 'anda', 'dapat', 'mengambil', 'banyak', 'gambar', 'di', 'sini', 'tanpa', 'pengaturan', 'pencahayaan']",<FreqDist with 31 samples and 41 outcomes>,"['pantai', 'makanan', 'lokal', 'dicoba', 'bagus', 'menyaksikan', 'matahari', 'terbenam', 'orang', 'lokal', 'mengambil', 'gambar', 'langsung', 'mencetaknya', 'pembayaran', 'wajar', 'nego', 'mengambil', 'gambar', 'pengaturan', 'pencahayaan']","['pantai', 'makan', 'lokal', 'coba', 'bagus', 'saksi', 'matahari', 'benam', 'orang', 'lokal', 'ambil', 'gambar', 'langsung', 'cetak', 'bayar', 'wajar', 'nego', 'ambil', 'gambar', 'atur', 'cahaya']",pantai makan lokal coba bagus saksi matahari benam orang lokal ambil gambar langsung cetak bayar wajar nego ambil gambar atur cahaya,1
19,19,19,sesuatu harus dilakukan tentang sampah yang ada di manamana ini adalah objek wisata agak agak agak,positif,"['sesuatu', 'harus', 'dilakukan', 'tentang', 'sampah', 'yang', 'ada', 'di', 'manamana', 'ini', 'adalah', 'objek', 'wisata', 'agak', 'agak', 'agak']",<FreqDist with 14 samples and 16 outcomes>,"['sampah', 'manamana', 'objek', 'wisata']","['sampah', 'manamana', 'objek', 'wisata']",sampah manamana objek wisata,1
20,20,20,pantai air manis pemandangannya bagus tapi terlalu panas di sore hari dan jujur untuk pantai bersejarah ini tidak terlalu bersih,positif,"['pantai', 'air', 'manis', 'pemandangannya', 'bagus', 'tapi', 'terlalu', 'panas', 'di', 'sore', 'hari', 'dan', 'jujur', 'untuk', 'pantai', 'bersejarah', 'ini', 'tidak', 'terlalu', 'bersih']",<FreqDist with 18 samples and 20 outcomes>,"['pantai', 'air', 'manis', 'pemandangannya', 'bagus', 'panas', 'sore', 'jujur', 'pantai', 'bersejarah', 'bersih']","['pantai', 'air', 'manis', 'pandang', 'bagus', 'panas', 'sore', 'jujur', 'pantai', 'sejarah', 'bersih']",pantai air manis pandang bagus panas sore jujur pantai sejarah bersih,1
21,21,21,tempat yang bagus di pantai ketika anda membutuhkan udara segar dan langit biru untuk jogging dan bersepeda,positif,"['tempat', 'yang', 'bagus', 'di', 'pantai', 'ketika', 'anda', 'membutuhkan', 'udara', 'segar', 'dan', 'langit', 'biru', 'untuk', 'jogging', 'dan', 'bersepeda']",<FreqDist with 16 samples and 17 outcomes>,"['bagus', 'pantai', 'membutuhkan', 'udara', 'segar', 'langit', 'biru', 'jogging', 'bersepeda']","['bagus', 'pantai', 'butuh', 'udara', 'segar', 'langit', 'biru', 'jogging', 'sepeda']",bagus pantai butuh udara segar langit biru jogging sepeda,1
22,22,22,tempat yang bagus untuk melihat matahari terbenam kita bisa makan beberapa bakso bakar atau makanan laut sambil menikmati matahari terbenam pada malam hari tempat ini masih banyak dikunjungi orang anak muda makan malam atau sekedar nongkrong di sini beberapa waktu melihat dan mendengar suara ombak membuat kami lebih rileks,positif,"['tempat', 'yang', 'bagus', 'untuk', 'melihat', 'matahari', 'terbenam', 'kita', 'bisa', 'makan', 'beberapa', 'bakso', 'bakar', 'atau', 'makanan', 'laut', 'sambil', 'menikmati', 'matahari', 'terbenam', 'pada', 'malam', 'hari', 'tempat', 'ini', 'masih', 'banyak', 'dikunjungi', 'orang', 'anak', 'muda', 'makan', 'malam', 'atau', 'sekedar', 'nongkrong', 'di', 'sini', 'beberapa', 'waktu', 'melihat', 'dan', 'mendengar', 'suara', 'ombak', 'membuat', 'kami', 'lebih', 'rileks']",<FreqDist with 41 samples and 49 outcomes>,"['bagus', 'matahari', 'terbenam', 'makan', 'bakso', 'bakar', 'makanan', 'laut', 'menikmati', 'matahari', 'terbenam', 'malam', 'dikunjungi', 'orang', 'anak', 'muda', 'makan', 'malam', 'sekedar', 'nongkrong', 'mendengar', 'suara', 'ombak', 'rileks']","['bagus', 'matahari', 'benam', 'makan', 'bakso', 'bakar', 'makan', 'laut', 'nikmat', 'matahari', 'benam', 'malam', 'kunjung', 'orang', 'anak', 'muda', 'makan', 'malam', 'dar', 'nongkrong', 'dengar', 'suara', 'ombak', 'rileks']",bagus matahari benam makan bakso bakar makan laut nikmat matahari benam malam kunjung orang anak muda makan malam dar nongkrong dengar suara ombak rileks,1
23,23,23,salah satu tempat terbaik untuk melihat matahari terbenam sambil menikmati makanan ringan,positif,"['salah', 'satu', 'tempat', 'terbaik', 'untuk', 'melihat', 'matahari', 'terbenam', 'sambil', 'menikmati', 'makanan', 'ringan']",<FreqDist with 12 samples and 12 outcomes>,"['salah', 'terbaik', 'matahari', 'terbenam', 'menikmati', 'makanan', 'ringan']","['salah', 'baik', 'matahari', 'benam', 'nikmat', 'makan', 'ringan']",salah baik matahari benam nikmat makan ringan,1
24,24,24,ini adalah salah satu tempat yang bagus untuk melihat laut di kota ini btw foto saya diambil dengan kamera film jadi terlihat seperti oldies,positif,"['ini', 'adalah', 'salah', 'satu', 'tempat', 'yang', 'bagus', 'untuk', 'melihat', 'laut', 'di', 'kota', 'ini', 'btw', 'foto', 'saya', 'diambil', 'dengan', 'kamera', 'film', 'jadi', 'terlihat', 'seperti', 'oldies']",<FreqDist with 23 samples and 24 outcomes>,"['salah', 'bagus', 'laut', 'kota', 'btw', 'foto', 'diambil', 'kamera', 'film', 'oldies']","['salah', 'bagus', 'laut', 'kota', 'btw', 'foto', 'ambil', 'kamera', 'film', 'oldies']",salah bagus laut kota btw foto ambil kamera film oldies,1
25,25,25,kehidupan di laut,negatif,"['kehidupan', 'di', 'laut']",<FreqDist with 3 samples and 3 outcomes>,"['kehidupan', 'laut']","['hidup', 'laut']",hidup laut,-1
26,26,26,pantai yang bagus untuk berenang berfoto makan olahraga dll,positif,"['pantai', 'yang', 'bagus', 'untuk', 'berenang', 'berfoto', 'makan', 'olahraga', 'dll']",<FreqDist with 9 samples and 9 outcomes>,"['pantai', 'bagus', 'berenang', 'berfoto', 'makan', 'olahraga', 'dll']","['pantai', 'bagus', 'renang', 'foto', 'makan', 'olahraga', 'dll']",pantai bagus renang foto makan olahraga dll,1
27,27,27,pantai yang bagus,positif,"['pantai', 'yang', 'bagus']",<FreqDist with 3 samples and 3 outcomes>,"['pantai', 'bagus']","['pantai', 'bagus']",pantai bagus,1
28,28,28,bagus untuk dilihat tetapi kurang hiburan dan tempat parkir yang rumit,positif,"['bagus', 'untuk', 'dilihat', 'tetapi', 'kurang', 'hiburan', 'dan', 'tempat', 'parkir', 'yang', 'rumit']",<FreqDist with 11 samples and 11 outcomes>,"['bagus', 'hiburan', 'parkir', 'rumit']","['bagus', 'hibur', 'parkir', 'rumit']",bagus hibur parkir rumit,1
29,29,29,sangat dekat dengan pantai pusat kota dengan jalur pejalan kaki beraspal yang luas dan relatif bersih di mana anda dapat berjalan atau jogging ada pasar ikan sederhana di sini di mana anda dapat membeli ikan yang baru ditangkap oleh nelayan ada banyak restoran yang menjual,positif,"['sangat', 'dekat', 'dengan', 'pantai', 'pusat', 'kota', 'dengan', 'jalur', 'pejalan', 'kaki', 'beraspal', 'yang', 'luas', 'dan', 'relatif', 'bersih', 'di', 'mana', 'anda', 'dapat', 'berjalan', 'atau', 'jogging', 'ada', 'pasar', 'ikan', 'sederhana', 'di', 'sini', 'di', 'mana', 'anda', 'dapat', 'membeli', 'ikan', 'yang', 'baru', 'ditangkap', 'oleh', 'nelayan', 'ada', 'banyak', 'restoran', 'yang', 'menjual']",<FreqDist with 35 samples and 45 outcomes>,"['pantai', 'pusat', 'kota', 'jalur', 'pejalan', 'kaki', 'beraspal', 'luas', 'relatif', 'bersih', 'berjalan', 'jogging', 'pasar', 'ikan', 'sederhana', 'membeli', 'ikan', 'ditangkap', 'nelayan', 'restoran', 'menjual']","['pantai', 'pusat', 'kota', 'jalur', 'pejal', 'kaki', 'aspal', 'luas', 'relatif', 'bersih', 'jalan', 'jogging', 'pasar', 'ikan', 'sederhana', 'beli', 'ikan', 'tangkap', 'nelayan', 'restoran', 'jual']",pantai pusat kota jalur pejal kaki aspal luas relatif bersih jalan jogging pasar ikan sederhana beli ikan tangkap nelayan restoran jual,1
30,30,30,datang untuk bersantai bersama keluarga tercinta,positif,"['datang', 'untuk', 'bersantai', 'bersama', 'keluarga', 'tercinta']",<FreqDist with 6 samples and 6 outcomes>,"['bersantai', 'keluarga', 'tercinta']","['santa', 'keluarga', 'cinta']",santa keluarga cinta,1
31,31,31,tempat ini menjadi lebih baik dan lebih baik nikmati pemandangan anda dan abadikan momen anda di sini,positif,"['tempat', 'ini', 'menjadi', 'lebih', 'baik', 'dan', 'lebih', 'baik', 'nikmati', 'pemandangan', 'anda', 'dan', 'abadikan', 'momen', 'anda', 'di', 'sini']",<FreqDist with 13 samples and 17 outcomes>,"['nikmati', 'pemandangan', 'abadikan', 'momen']","['nikmat', 'pandang', 'abadi', 'momen']",nikmat pandang abadi momen,1
32,32,32,pantai yang indah tapi tidak alami batu penghalangpemecah merusak keindahannya,positif,"['pantai', 'yang', 'indah', 'tapi', 'tidak', 'alami', 'batu', 'penghalangpemecah', 'merusak', 'keindahannya']",<FreqDist with 10 samples and 10 outcomes>,"['pantai', 'indah', 'alami', 'batu', 'penghalangpemecah', 'merusak', 'keindahannya']","['pantai', 'indah', 'alami', 'batu', 'penghalangpemecah', 'rusak', 'indah']",pantai indah alami batu penghalangpemecah rusak indah,1
33,33,33,jika anda beruntung golden sunset akan menjadi milik anda jalan makanan tersedia waspadalah terhadap penipuanmakanan jalananharga,positif,"['jika', 'anda', 'beruntung', 'golden', 'sunset', 'akan', 'menjadi', 'milik', 'anda', 'jalan', 'makanan', 'tersedia', 'waspadalah', 'terhadap', 'penipuanmakanan', 'jalananharga']",<FreqDist with 15 samples and 16 outcomes>,"['beruntung', 'golden', 'sunset', 'milik', 'jalan', 'makanan', 'tersedia', 'waspadalah', 'penipuanmakanan', 'jalananharga']","['untung', 'golden', 'sunset', 'milik', 'jalan', 'makan', 'sedia', 'waspada', 'penipuanmakanan', 'jalananharga']",untung golden sunset milik jalan makan sedia waspada penipuanmakanan jalananharga,1
34,34,34,pemerintah harus melakukan lebih banyak ayo padang melakukan lebih jangan biarkan sampah menenggelamkan kota kemanapun aku pergi,positif,"['pemerintah', 'harus', 'melakukan', 'lebih', 'banyak', 'ayo', 'padang', 'melakukan', 'lebih', 'jangan', 'biarkan', 'sampah', 'menenggelamkan', 'kota', 'kemanapun', 'aku', 'pergi']",<FreqDist with 15 samples and 17 outcomes>,"['pemerintah', 'ayo', 'padang', 'biarkan', 'sampah', 'menenggelamkan', 'kota', 'kemanapun', 'pergi']","['perintah', 'ayo', 'padang', 'biar', 'sampah', 'tenggelam', 'kota', 'mana', 'pergi']",perintah ayo padang biar sampah tenggelam kota mana pergi,1
35,35,35,tempat yang bagus untuk menyaksikan perjalanan matahari terbenam mendapatkan makanan semuanya gratis sedikit pengecut dan sulit menemukan tempat parkir di waktu sibuk,positif,"['tempat', 'yang', 'bagus', 'untuk', 'menyaksikan', 'perjalanan', 'matahari', 'terbenam', 'mendapatkan', 'makanan', 'semuanya', 'gratis', 'sedikit', 'pengecut', 'dan', 'sulit', 'menemukan', 'tempat', 'parkir', 'di', 'waktu', 'sibuk']",<FreqDist with 21 samples and 22 outcomes>,"['bagus', 'menyaksikan', 'perjalanan', 'matahari', 'terbenam', 'makanan', 'gratis', 'pengecut', 'sulit', 'menemukan', 'parkir', 'sibuk']","['bagus', 'saksi', 'jalan', 'matahari', 'benam', 'makan', 'gratis', 'kecut', 'sulit', 'temu', 'parkir', 'sibuk']",bagus saksi jalan matahari benam makan gratis kecut sulit temu parkir sibuk,1
36,36,36,pemandangan indah saat anda mengunjungi padang sumatera barat,positif,"['pemandangan', 'indah', 'saat', 'anda', 'mengunjungi', 'padang', 'sumatera', 'barat']",<FreqDist with 8 samples and 8 outcomes>,"['pemandangan', 'indah', 'mengunjungi', 'padang', 'sumatera', 'barat']","['pandang', 'indah', 'unjung', 'padang', 'sumatera', 'barat']",pandang indah unjung padang sumatera barat,1
